<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	13:30:00	3467.04	3471.90	3462.32	3469.67	1064	0	180
2025.01.02	13:40:00	3469.67	3472.78	3459.06	3462.27	888	0	180
2025.01.02	13:50:00	3462.27	3465.60	3459.37	3464.19	806	0	180
2025.01.02	14:00:00	3464.19	3465.77	3438.76	3456.17	2248	0	180
2025.01.02	14:10:00	3456.34	3460.96	3447.17	3448.30	1184	0	180
2025.01.02	14:20:00	3448.30	3462.62	3446.47	3461.42	808	0	180
2025.01.02	14:30:00	3461.42	3509.54	3458.17	3460.25	4845	0	180
2025.01.02	14:40:00	3460.65	3490.49	3459.80	3487.40	3600	0	180
2025.01.02	14:50:00	3487.43	3496.96	3480.48	3493.85	2984	0	180
2025.01.02	15:00:00	3493.83	3494.97	3479.41	3482.59	2547	0	180
2025.01.02	15:10:00	3482.59	3487.98	3473.48	3473.79	2279	0	180
2025.01.02	15:20:00	3473.79	3474.94	3457.05	3468.61	2714	0	180
2025.01.02	15:30:00	3468.56	3471.10	3455.82	3463.06	2333	0	180
2025.01.02	15:40:00	3463.06	3469.50	3454.63	3467.50	1959	0	180
2025.01.02	15:50:00	3467.50	3467.51	3455.20	3462.05	1397	0	180
2025.01.02	16:00:00	3462.05	3465.19	3446.67	3458.33	1870	0	180
2025.01.02	16:10:00	3458.33	3475.26	3452.61	3472.82	1791	0	180
2025.01.02	16:20:00	3472.82	3483.34	3468.36	3479.51	1913	0	180
2025.01.02	16:30:00	3479.50	3486.00	3474.35	3483.02	1704	0	180
2025.01.02	16:40:00	3483.02	3488.10	3476.51	3481.08	1314	0	180
2025.01.02	16:50:00	3481.08	3481.08	3466.54	3468.36	1353	0	180
2025.01.02	17:00:00	3468.36	3474.75	3464.35	3467.89	1198	0	180
2025.01.02	17:10:00	3467.76	3477.89	3467.57	3475.59	1155	0	180
2025.01.02	17:20:00	3475.59	3475.65	3460.40	3462.07	1244	0	180
2025.01.02	17:30:00	3462.07	3462.07	3440.08	3442.02	1842	0	180
2025.01.02	17:40:00	3442.02	3451.36	3427.86	3433.22	1900	0	180
2025.01.02	17:50:00	3433.22	3451.36	3433.22	3449.49	1235	0	180
2025.01.02	18:00:00	3449.49	3459.15	3438.74	3454.59	1605	0	180
2025.01.02	18:10:00	3454.59	3457.11	3448.01	3455.61	1318	0	180
2025.01.02	18:20:00	3455.61	3462.26	3450.53	3457.72	1019	0	180
2025.01.02	18:30:00	3457.73	3457.73	3449.69	3450.93	871	0	180
2025.01.02	18:40:00	3450.93	3463.51	3447.23	3458.13	1157	0	180
2025.01.02	18:50:00	3458.13	3463.86	3454.65	3463.06	840	0	180
2025.01.02	19:00:00	3463.06	3469.14	3458.97	3466.24	947	0	180
2025.01.02	19:10:00	3466.25	3467.62	3463.28	3466.64	694	0	180
2025.01.02	19:20:00	3466.64	3473.09	3466.07	3468.62	668	0	180
2025.01.02	19:30:00	3468.62	3468.62	3456.71	3461.31	975	0	180
2025.01.02	19:40:00	3461.31	3466.44	3457.51	3462.84	827	0	180
2025.01.02	19:50:00	3462.84	3467.22	3459.88	3460.80	740	0	180
2025.01.02	20:00:00	3460.80	3467.64	3460.67	3463.72	756	0	180
2025.01.02	20:10:00	3463.72	3468.50	3461.17	3468.50	667	0	180
2025.01.02	20:20:00	3468.50	3473.16	3465.67	3465.67	671	0	180
2025.01.02	20:30:00	3465.67	3468.24	3452.18	3452.18	860	0	180
2025.01.02	20:40:00	3452.18	3458.69	3452.09	3456.94	653	0	180
2025.01.02	20:50:00	3456.94	3459.38	3448.85	3450.42	706	0	180
2025.01.02	21:00:00	3450.42	3453.68	3441.38	3443.56	551	0	180
2025.01.02	21:10:00	3443.56	3450.81	3440.29	3448.01	537	0	180
2025.01.02	21:20:00	3448.01	3451.34	3444.18	3450.77	396	0	180
2025.01.02	21:30:00	3450.77	3451.53	3445.54	3451.53	478	0	180
2025.01.02	21:40:00	3451.53	3453.09	3445.91	3450.53	399	0	180
2025.01.02	21:50:00	3450.53	3453.74	3447.62	3452.58	356	0	180
2025.01.02	22:00:00	3452.58	3452.58	3447.76	3449.69	304	0	180
2025.01.02	22:10:00	3449.69	3449.69	3438.84	3440.75	523	0	180
2025.01.02	22:20:00	3440.75	3440.77	3419.43	3433.17	998	0	180
2025.01.02	22:30:00	3433.17	3439.17	3429.66	3436.39	469	0	180
2025.01.02	22:40:00	3436.39	3441.92	3433.91	3438.38	511	0	180
2025.01.02	22:50:00	3438.39	3442.35	3437.25	3438.53	259	0	180
2025.01.02	23:00:00	3438.53	3443.36	3435.73	3435.73	746	0	180
2025.01.02	23:10:00	3435.73	3447.03	3435.33	3446.78	626	0	180
2025.01.02	23:20:00	3446.78	3450.05	3444.47	3449.06	514	0	180
2025.01.02	23:30:00	3449.06	3455.18	3449.05	3451.74	620	0	180
2025.01.02	23:40:00	3451.75	3452.31	3446.39	3447.95	321	0	180
2025.01.02	23:50:00	3447.95	3455.22	3447.72	3454.58	232	0	180
2025.01.03	00:00:00	3454.58	3456.60	3451.92	3452.85	454	0	180
2025.01.03	00:10:00	3452.85	3452.85	3445.44	3445.89	408	0	180
2025.01.03	00:20:00	3445.89	3465.77	3445.46	3461.70	779	0	180
2025.01.03	00:30:00	3461.70	3466.15	3451.84	3451.84	994	0	180
2025.01.03	00:40:00	3451.84	3454.47	3448.97	3449.10	484	0	180
2025.01.03	00:50:00	3449.10	3449.92	3445.70	3448.32	449	0	180
2025.01.03	01:00:00	3448.32	3451.83	3445.66	3445.67	498	0	180
2025.01.03	01:10:00	3445.67	3449.31	3441.27	3447.52	825	0	180
2025.01.03	01:20:00	3447.52	3457.49	3445.62	3457.49	713	0	180
2025.01.03	01:30:00	3457.49	3458.23	3448.73	3453.22	734	0	180
2025.01.03	01:40:00	3453.22	3455.96	3448.60	3453.89	493	0	180
2025.01.03	01:50:00	3453.89	3465.07	3453.89	3463.76	672	0	180
2025.01.03	02:00:00	3463.76	3469.09	3459.30	3466.17	496	0	180
2025.01.03	02:10:00	3466.17	3476.39	3465.76	3472.10	655	0	180
2025.01.03	02:20:00	3472.10	3476.12	3469.81	3474.09	764	0	180
2025.01.03	02:30:00	3474.09	3474.11	3463.72	3469.20	655	0	180
2025.01.03	02:40:00	3469.20	3470.40	3463.49	3464.20	370	0	180
2025.01.03	02:50:00	3464.20	3466.10	3456.59	3457.42	454	0	180
2025.01.03	03:00:00	3457.18	3463.06	3455.98	3460.29	516	0	180
2025.01.03	03:10:00	3460.24	3461.20	3456.39	3460.08	362	0	180
2025.01.03	03:20:00	3460.08	3462.51	3455.35	3459.46	408	0	180
2025.01.03	03:30:00	3459.46	3465.57	3457.74	3464.03	406	0	180
2025.01.03	03:40:00	3464.03	3467.66	3463.29	3467.02	348	0	180
2025.01.03	03:50:00	3467.02	3472.33	3466.85	3469.85	360	0	180
2025.01.03	04:00:00	3469.84	3470.62	3464.46	3468.15	687	0	180
2025.01.03	04:10:00	3468.15	3469.86	3462.19	3465.47	495	0	180
2025.01.03	04:20:00	3465.47	3467.24	3459.82	3461.77	491	0	180
2025.01.03	04:30:00	3461.78	3463.06	3457.37	3458.50	368	0	180
2025.01.03	04:40:00	3458.50	3461.95	3455.94	3460.14	459	0	180
2025.01.03	04:50:00	3459.91	3460.78	3456.71	3458.54	473	0	180
2025.01.03	05:00:00	3458.54	3460.72	3448.88	3452.87	743	0	180
2025.01.03	05:10:00	3452.87	3458.50	3452.49	3455.71	460	0	180
2025.01.03	05:20:00	3455.71	3455.71	3443.55	3448.92	799	0	180
2025.01.03	05:30:00	3448.92	3452.92	3446.21	3452.48	324	0	180
2025.01.03	05:40:00	3452.48	3453.26	3447.87	3452.34	481	0	180
2025.01.03	05:50:00	3452.34	3456.73	3452.17	3454.87	425	0	180
2025.01.03	06:00:00	3454.87	3460.97	3452.09	3457.47	442	0	180
2025.01.03	06:10:00	3457.47	3459.86	3451.80	3453.32	423	0	180
2025.01.03	06:20:00	3453.32	3453.32	3445.90	3448.70	582	0	180
2025.01.03	06:30:00	3448.70	3450.59	3447.27	3449.62	413	0	180
2025.01.03	06:40:00	3449.62	3452.45	3443.14	3445.06	474	0	180
2025.01.03	06:50:00	3445.06	3447.60	3441.00	3441.87	507	0	180
2025.01.03	07:00:00	3441.87	3443.89	3436.04	3437.01	614	0	180
2025.01.03	07:10:00	3437.01	3443.85	3433.11	3440.31	605	0	180
2025.01.03	07:20:00	3440.31	3440.35	3431.72	3434.87	701	0	180
2025.01.03	07:30:00	3434.87	3440.12	3432.24	3433.23	727	0	180
2025.01.03	07:40:00	3433.23	3438.57	3431.19	3438.23	560	0	180
2025.01.03	07:50:00	3438.23	3438.94	3432.67	3432.71	376	0	180
2025.01.03	08:00:00	3432.81	3435.48	3430.10	3430.69	527	0	180
2025.01.03	08:10:00	3430.69	3438.10	3428.77	3437.30	489	0	180
2025.01.03	08:20:00	3437.30	3441.93	3430.22	3430.85	692	0	180
